name,SubCategory,OS,Country,City,Support Group,Virtual,Shared
ITSUSRAPHSP02,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPHSP03,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPHSP04,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPHSQ01,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPHSQ02,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPHSQ03,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPHSQ04,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPHSQLP1,Windows,Win2008 R2 Standard,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPIA01,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,TRUE,FALSE
ITSUSRAPIA02,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,TRUE,FALSE
ITSUSRAPIDP01,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
ITSUSRAPIDP02,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
